iter	RMSE
0	27487477.8
1	27083428.66
2	26672948.18
3	26236386.62
4	25841332.29
5	25396117.91
6	24938427.88
7	24631722.07
8	24194209.3
9	23737244.7
10	23397868.57
11	22961956.46
12	22652256.95
13	22226383.04
14	21837573.93
15	21502054.74
16	21191452.67
17	20854446.38
18	20555452.09
19	20244709.55
20	19959112.37
21	19695654.25
22	19385470.43
23	19037910.18
24	18772995.12
25	18537401.66
26	18284624.14
27	17975002.66
28	17730736.96
29	17448974.85
30	17236035.89
31	17014634.17
32	16759579.87
33	16550146.87
34	16236414.9
35	15999723.92
36	15748652.17
37	15484968.43
38	15311003.89
39	15016286.92
40	14760232.79
41	14562379.94
42	14326990.44
43	14165972.91
44	13945348.26
45	13769927.3
46	13587746.85
47	13388795.21
48	13232381.08
49	13025297.58
50	12753204.38
51	12584286.26
52	12391445.31
53	12255667.76
54	12093005.79
55	11912604.54
56	11764149.18
57	11585936.83
58	11414409.75
59	11259379.55
60	11087068.18
61	10896606.79
62	10735022.72
63	10596208.24
64	10391581.21
65	10225710.94
66	10067005.2
67	9911749.717
68	9777939.268
69	9583886.873
70	9433317.641
71	9283821.261
72	9166598.243
73	9011033.608
74	8884481.377
75	8741560.101
76	8592263.947
77	8481356.102
78	8305120.255
79	8159034.064
80	8039823.519
81	7906726.356
82	7761354.441
83	7614494.812
84	7491461.494
85	7371732.306
86	7249108.773
87	7135309.33
88	7003542.773
89	6907215.7
90	6819988.848
91	6730688.747
92	6642906.415
93	6562623.285
94	6474958.634
95	6382448.735
96	6273580.267
97	6172428.394
98	6094018.795
99	6016581.031
100	5932430.189
101	5836700.993
102	5758064.95
103	5683564.547
104	5609186.668
105	5513448.358
106	5410190.359
107	5342772.516
108	5271571.687
109	5200963.759
110	5087139.572
111	5003765.645
112	4942066.237
113	4880231.709
114	4817490.317
115	4716082.08
116	4657183.555
117	4594753.977
118	4533439.257
119	4459771.881
120	4404024.732
121	4350568.016
122	4296247.661
123	4236426.012
124	4182724.959
125	4126143.337
126	4075446.563
127	4002023.72
128	3948313.049
129	3897249.855
130	3850018.799
131	3801944.362
132	3754439.357
133	3677776.707
134	3602857.971
135	3557642.202
136	3504578.545
137	3459116.605
138	3412266.641
139	3351522.194
140	3309581.412
141	3268211.643
142	3225295.722
143	3185183.008
144	3144648.461
145	3105357.205
146	3066557.481
147	3028259.928
148	2990606.852
149	2952918.567
150	2915975.923
151	2877337.565
152	2839443.929
153	2804177.901
154	2769153.059
155	2734538.645
156	2699826.888
157	2666079.051
158	2632780.099
159	2599890.818
160	2567333.057
161	2534191.319
162	2502513.927
163	2470994.997
164	2440133.51
165	2409662.454
166	2378248.686
167	2348144.027
168	2317517.784
169	2288704.193
170	2259893.626
171	2231450.657
172	2203700.052
173	2176299.33
174	2149244.093
175	2121232.721
176	2094863.602
177	2068826.935
178	2043118.55
179	2017401.305
180	1992334.867
181	1967463.372
182	1941811.397
183	1917685.858
184	1893552.371
185	1870029.234
186	1846802.688
187	1823869.023
188	1800916.031
189	1778256.277
190	1755885.941
191	1734081.296
192	1711505.032
193	1690253.676
194	1669270.26
195	1648551.437
196	1628093.906
197	1607612.659
198	1587666.006
199	1567970.957
