iter	Passed	Remaining
0	25	5168
1	43	4316
2	60	4000
3	78	3840
4	98	3860
5	115	3749
6	132	3665
7	150	3604
8	167	3558
9	185	3521
10	203	3490
11	220	3456
12	241	3468
13	259	3443
14	272	3354
15	289	3329
16	302	3261
17	320	3236
18	338	3224
19	355	3197
20	371	3169
21	389	3148
22	406	3126
23	423	3106
24	443	3105
25	461	3091
26	481	3088
27	504	3097
28	525	3096
29	543	3077
30	560	3057
31	578	3035
32	596	3020
33	616	3012
34	635	2996
35	652	2973
36	669	2949
37	685	2923
38	702	2900
39	720	2882
40	738	2864
41	756	2844
42	773	2824
43	790	2803
44	808	2783
45	825	2763
46	842	2743
47	859	2723
48	879	2710
49	895	2687
50	909	2656
51	926	2638
52	944	2619
53	962	2601
54	981	2587
55	998	2567
56	1016	2549
57	1034	2531
58	1051	2512
59	1067	2490
60	1084	2470
61	1100	2450
62	1119	2435
63	1137	2417
64	1157	2403
65	1176	2388
66	1196	2374
67	1215	2359
68	1233	2342
69	1250	2322
70	1267	2303
71	1284	2283
72	1301	2264
73	1322	2251
74	1340	2234
75	1358	2215
76	1375	2196
77	1391	2176
78	1409	2158
79	1429	2144
80	1450	2130
81	1470	2115
82	1487	2097
83	1504	2077
84	1522	2060
85	1540	2041
86	1558	2023
87	1575	2004
88	1591	1985
89	1608	1966
90	1626	1948
91	1643	1929
92	1661	1911
93	1678	1892
94	1695	1873
95	1712	1854
96	1729	1836
97	1746	1817
98	1763	1798
99	1780	1780
100	1798	1762
101	1816	1744
102	1834	1727
103	1851	1709
104	1870	1692
105	1888	1674
106	1905	1656
107	1923	1638
108	1941	1620
109	1959	1602
110	1977	1585
111	1996	1568
112	2014	1550
113	2033	1534
114	2052	1516
115	2066	1496
116	2084	1478
117	2102	1460
118	2121	1444
119	2140	1426
120	2159	1409
121	2178	1392
122	2197	1375
123	2216	1358
124	2235	1341
125	2253	1323
126	2271	1305
127	2289	1287
128	2309	1270
129	2328	1253
130	2346	1235
131	2364	1218
132	2382	1200
133	2400	1182
134	2419	1164
135	2438	1147
136	2456	1129
137	2474	1111
138	2491	1093
139	2510	1075
140	2528	1057
141	2547	1040
142	2565	1022
143	2583	1004
144	2602	987
145	2621	969
146	2639	951
147	2656	933
148	2674	915
149	2692	897
150	2711	879
151	2731	862
152	2750	844
153	2767	826
154	2785	808
155	2803	790
156	2823	773
157	2843	755
158	2861	737
159	2879	719
160	2897	701
161	2915	683
162	2933	665
163	2952	648
164	2970	630
165	2988	612
166	3006	594
167	3026	576
168	3045	558
169	3064	540
170	3081	522
171	3099	504
172	3118	486
173	3136	468
174	3154	450
175	3173	432
176	3191	414
177	3210	396
178	3228	378
179	3246	360
180	3266	342
181	3285	324
182	3303	306
183	3321	288
184	3340	270
185	3359	252
186	3377	234
187	3396	216
188	3414	198
189	3432	180
190	3451	162
191	3469	144
192	3486	126
193	3504	108
194	3522	90
195	3540	72
196	3556	54
197	3574	36
198	3592	18
199	3610	0
